Border,Date,Measure,Value,Average
US-Mexico Border,06/01/1999 12:00:00 AM,Truck Containers Empty,163045,158194
US-Canada Border,06/01/1999 12:00:00 AM,Rail Containers Full,86361,105723
US-Canada Border,06/01/1999 12:00:00 AM,Pedestrians,84100,50119
US-Canada Border,06/01/1999 12:00:00 AM,Truck Containers Empty,74513,68510
US-Canada Border,06/01/1999 12:00:00 AM,Rail Containers Empty,28958,30053
US-Canada Border,06/01/1999 12:00:00 AM,Train Passengers,25423,18736
US-Mexico Border,06/01/1999 12:00:00 AM,Buses,24824,24193
US-Mexico Border,06/01/1999 12:00:00 AM,Rail Containers Empty,23649,21238
US-Mexico Border,06/01/1999 12:00:00 AM,Rail Containers Full,19806,19666
US-Canada Border,06/01/1999 12:00:00 AM,Buses,19285,14881
US-Canada Border,06/01/1999 12:00:00 AM,Trains,2756,2861
US-Mexico Border,06/01/1999 12:00:00 AM,Train Passengers,1480,1552
US-Mexico Border,06/01/1999 12:00:00 AM,Trains,516,504
US-Mexico Border,06/01/1998 12:00:00 AM,Personal Vehicle Passengers,18848768,19094123
US-Canada Border,06/01/1998 12:00:00 AM,Personal Vehicle Passengers,7938073,7113305
US-Mexico Border,06/01/1998 12:00:00 AM,Personal Vehicles,6983818,7073238
US-Mexico Border,06/01/1998 12:00:00 AM,Pedestrians,3439384,3825300
US-Canada Border,06/01/1998 12:00:00 AM,Personal Vehicles,3268398,2994968
US-Canada Border,06/01/1998 12:00:00 AM,Trucks,539513,532094
US-Canada Border,06/01/1998 12:00:00 AM,Bus Passengers,434358,340906
US-Mexico Border,06/01/1998 12:00:00 AM,Trucks,339169,334355
US-Canada Border,06/01/1998 12:00:00 AM,Truck Containers Full,326411,322635
US-Mexico Border,06/01/1998 12:00:00 AM,Bus Passengers,319580,312264
US-Mexico Border,06/01/1998 12:00:00 AM,Truck Containers Full,165880,172824
US-Mexico Border,06/01/1998 12:00:00 AM,Truck Containers Empty,135674,143664
US-Canada Border,06/01/1998 12:00:00 AM,Pedestrians,74913,53430
US-Canada Border,06/01/1998 12:00:00 AM,Rail Containers Full,71913,66098
US-Canada Border,06/01/1998 12:00:00 AM,Truck Containers Empty,55258,52158
US-Canada Border,06/01/1998 12:00:00 AM,Train Passengers,25519,18673
US-Canada Border,06/01/1998 12:00:00 AM,Rail Containers Empty,24742,23878
US-Mexico Border,06/01/1998 12:00:00 AM,Buses,21719,22134
US-Canada Border,06/01/1998 12:00:00 AM,Buses,18810,14473
US-Mexico Border,06/01/1998 12:00:00 AM,Rail Containers Empty,18543,19963
US-Mexico Border,06/01/1998 12:00:00 AM,Rail Containers Full,15818,14378
US-Canada Border,06/01/1998 12:00:00 AM,Trains,2722,3029
US-Mexico Border,06/01/1998 12:00:00 AM,Train Passengers,1046,1227
US-Mexico Border,06/01/1998 12:00:00 AM,Trains,465,471
US-Mexico Border,06/01/1997 12:00:00 AM,Personal Vehicle Passengers,18710035,17697380
US-Canada Border,06/01/1997 12:00:00 AM,Personal Vehicle Passengers,8648522,7242387
US-Mexico Border,06/01/1997 12:00:00 AM,Personal Vehicles,6951474,6608187
US-Canada Border,06/01/1997 12:00:00 AM,Personal Vehicles,3555250,3144454
US-Mexico Border,06/01/1997 12:00:00 AM,Pedestrians,3502445,3740293
US-Canada Border,06/01/1997 12:00:00 AM,Trucks,500868,494177
US-Canada Border,06/01/1997 12:00:00 AM,Bus Passengers,419344,347599
US-Mexico Border,06/01/1997 12:00:00 AM,Trucks,306257,305556
US-Mexico Border,06/01/1997 12:00:00 AM,Bus Passengers,230319,214567
US-Mexico Border,06/01/1997 12:00:00 AM,Truck Containers Full,147949,149771
US-Mexico Border,06/01/1997 12:00:00 AM,Truck Containers Empty,123407,119155
US-Canada Border,06/01/1997 12:00:00 AM,Truck Containers Full,116597,107378
US-Canada Border,06/01/1997 12:00:00 AM,Pedestrians,41707,52486
US-Canada Border,06/01/1997 12:00:00 AM,Rail Containers Full,29297,25904
US-Canada Border,06/01/1997 12:00:00 AM,Truck Containers Empty,26502,20833
US-Canada Border,06/01/1997 12:00:00 AM,Train Passengers,23581,15767
US-Mexico Border,06/01/1997 12:00:00 AM,Buses,18785,17955
US-Canada Border,06/01/1997 12:00:00 AM,Buses,17852,13893
US-Mexico Border,06/01/1997 12:00:00 AM,Rail Containers Empty,15735,16351
US-Canada Border,06/01/1997 12:00:00 AM,Rail Containers Empty,15243,11831
US-Mexico Border,06/01/1997 12:00:00 AM,Rail Containers Full,14381,15430
US-Canada Border,06/01/1997 12:00:00 AM,Trains,2869,2761
US-Mexico Border,06/01/1997 12:00:00 AM,Train Passengers,1025,1099
US-Mexico Border,06/01/1997 12:00:00 AM,Trains,717,632
US-Mexico Border,06/01/1996 12:00:00 AM,Personal Vehicle Passengers,14303742,14940209
US-Canada Border,06/01/1996 12:00:00 AM,Personal Vehicle Passengers,9826869,7935027
US-Mexico Border,06/01/1996 12:00:00 AM,Personal Vehicles,5273662,5390942
US-Canada Border,06/01/1996 12:00:00 AM,Personal Vehicles,3787292,3168885
US-Mexico Border,06/01/1996 12:00:00 AM,Pedestrians,2723279,3016633
US-Canada Border,06/01/1996 12:00:00 AM,Trucks,454740,461249
US-Canada Border,06/01/1996 12:00:00 AM,Bus Passengers,426751,328226
US-Mexico Border,06/01/1996 12:00:00 AM,Trucks,263040,265874
US-Mexico Border,06/01/1996 12:00:00 AM,Bus Passengers,142902,150336
US-Mexico Border,06/01/1996 12:00:00 AM,Truck Containers Full,138354,152098
US-Mexico Border,06/01/1996 12:00:00 AM,Truck Containers Empty,117950,114663
US-Canada Border,06/01/1996 12:00:00 AM,Truck Containers Full,101853,129507
US-Canada Border,06/01/1996 12:00:00 AM,Pedestrians,44493,49263
US-Canada Border,06/01/1996 12:00:00 AM,Rail Containers Full,26452,28997
US-Canada Border,06/01/1996 12:00:00 AM,Train Passengers,22934,15382
US-Canada Border,06/01/1996 12:00:00 AM,Buses,17981,14682
US-Canada Border,06/01/1996 12:00:00 AM,Truck Containers Empty,15566,17646
US-Canada Border,06/01/1996 12:00:00 AM,Rail Containers Empty,10364,10703
US-Mexico Border,06/01/1996 12:00:00 AM,Rail Containers Empty,10002,12711
US-Mexico Border,06/01/1996 12:00:00 AM,Buses,9979,9909
US-Mexico Border,06/01/1996 12:00:00 AM,Rail Containers Full,9551,13883
US-Canada Border,06/01/1996 12:00:00 AM,Trains,2541,2674
US-Mexico Border,06/01/1996 12:00:00 AM,Train Passengers,757,1001
US-Mexico Border,06/01/1996 12:00:00 AM,Trains,578,655
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,11161555,11013023
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicles,6087007,5932274
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,4209007,3534931
US-Mexico Border,05/01/2019 12:00:00 AM,Pedestrians,4144485,4099411
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,2301064,1922490
US-Mexico Border,05/01/2019 12:00:00 AM,Trucks,576724,534925
US-Canada Border,05/01/2019 12:00:00 AM,Trucks,507425,474448
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Full,435491,398166
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Full,385497,361093
US-Canada Border,05/01/2019 12:00:00 AM,Bus Passengers,190178,101282
US-Mexico Border,05/01/2019 12:00:00 AM,Bus Passengers,172481,182232
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Full,159963,153869
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Empty,147259,143249
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Empty,133736,124036
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Empty,61553,59420
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Empty,52634,48857
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,50586,23530
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Full,44885,40991
US-Canada Border,05/01/2019 12:00:00 AM,Train Passengers,30038,12653
US-Mexico Border,05/01/2019 12:00:00 AM,Buses,12562,12761
US-Canada Border,05/01/2019 12:00:00 AM,Buses,8174,4589
US-Canada Border,05/01/2019 12:00:00 AM,Trains,2090,1926
US-Mexico Border,05/01/2019 12:00:00 AM,Trains,987,956
US-Mexico Border,05/01/2019 12:00:00 AM,Train Passengers,958,851
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,12425460,12151644
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicles,6723434,6464928
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,4365709,3620156
US-Mexico Border,05/01/2018 12:00:00 AM,Pedestrians,3850841,3882005
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicles,2378868,1962318
US-Mexico Border,05/01/2018 12:00:00 AM,Trucks,561452,531216
US-Canada Border,05/01/2018 12:00:00 AM,Trucks,524191,491292
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Full,408438,383864
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Full,393302,363580
US-Canada Border,05/01/2018 12:00:00 AM,Bus Passengers,197790,105751
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Full,152582,147436
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Empty,150480,146555
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Empty,142900,138249
US-Mexico Border,05/01/2018 12:00:00 AM,Bus Passengers,108419,133046
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Empty,70644,66692
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Empty,53567,46635
US-Canada Border,05/01/2018 12:00:00 AM,Pedestrians,44519,19608
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Full,41851,40623
US-Canada Border,05/01/2018 12:00:00 AM,Train Passengers,26599,11954
US-Mexico Border,05/01/2018 12:00:00 AM,Buses,13097,13033
US-Canada Border,05/01/2018 12:00:00 AM,Buses,8291,4861
US-Canada Border,05/01/2018 12:00:00 AM,Trains,2094,1934
US-Mexico Border,05/01/2018 12:00:00 AM,Trains,948,896
US-Mexico Border,05/01/2018 12:00:00 AM,Train Passengers,891,808
US-Mexico Border,05/01/2017 12:00:00 AM,Personal Vehicle Passengers,12088275,11809318
US-Mexico Border,05/01/2017 12:00:00 AM,Personal Vehicles,6586937,6413002
US-Canada Border,05/01/2017 12:00:00 AM,Personal Vehicle Passengers,3907196,3450209
US-Mexico Border,05/01/2017 12:00:00 AM,Pedestrians,3542039,3536813
US-Canada Border,05/01/2017 12:00:00 AM,Personal Vehicles,2216491,1932789
US-Canada Border,05/01/2017 12:00:00 AM,Trucks,527854,486337
US-Mexico Border,05/01/2017 12:00:00 AM,Trucks,526011,495108
US-Canada Border,05/01/2017 12:00:00 AM,Truck Containers Full,497746,424963
US-Mexico Border,05/01/2017 12:00:00 AM,Truck Containers Full,475164,430555
US-Mexico Border,05/01/2017 12:00:00 AM,Truck Containers Empty,206516,188300
US-Canada Border,05/01/2017 12:00:00 AM,Truck Containers Empty,196574,174594
US-Canada Border,05/01/2017 12:00:00 AM,Bus Passengers,194863,112976
US-Canada Border,05/01/2017 12:00:00 AM,Rail Containers Full,145485,143939
US-Mexico Border,05/01/2017 12:00:00 AM,Bus Passengers,134569,146795
US-Canada Border,05/01/2017 12:00:00 AM,Rail Containers Empty,68963,64157
US-Mexico Border,05/01/2017 12:00:00 AM,Rail Containers Empty,47387,44817
US-Mexico Border,05/01/2017 12:00:00 AM,Rail Containers Full,44134,40867
US-Canada Border,05/01/2017 12:00:00 AM,Pedestrians,35628,19361
US-Canada Border,05/01/2017 12:00:00 AM,Train Passengers,28535,13144
US-Mexico Border,05/01/2017 12:00:00 AM,Buses,13577,14970
US-Canada Border,05/01/2017 12:00:00 AM,Buses,9078,5312
US-Canada Border,05/01/2017 12:00:00 AM,Trains,1947,1883
US-Mexico Border,05/01/2017 12:00:00 AM,Trains,961,925
US-Mexico Border,05/01/2017 12:00:00 AM,Train Passengers,880,1114
US-Mexico Border,05/01/2016 12:00:00 AM,Personal Vehicle Passengers,11950344,11533117
US-Mexico Border,05/01/2016 12:00:00 AM,Personal Vehicles,6490297,6297315
US-Canada Border,05/01/2016 12:00:00 AM,Personal Vehicle Passengers,4179571,3360711
US-Mexico Border,05/01/2016 12:00:00 AM,Pedestrians,3583968,3442714
US-Canada Border,05/01/2016 12:00:00 AM,Personal Vehicles,2334818,1938717
US-Canada Border,05/01/2016 12:00:00 AM,Trucks,507631,492098
US-Mexico Border,05/01/2016 12:00:00 AM,Trucks,501367,491972
US-Canada Border,05/01/2016 12:00:00 AM,Truck Containers Full,423092,408528
US-Mexico Border,05/01/2016 12:00:00 AM,Truck Containers Full,362521,353541
US-Canada Border,05/01/2016 12:00:00 AM,Bus Passengers,211733,117146
US-Mexico Border,05/01/2016 12:00:00 AM,Bus Passengers,202481,204337
US-Mexico Border,05/01/2016 12:00:00 AM,Truck Containers Empty,137923,136448
US-Canada Border,05/01/2016 12:00:00 AM,Rail Containers Full,129560,133689
US-Canada Border,05/01/2016 12:00:00 AM,Truck Containers Empty,109408,101440
US-Canada Border,05/01/2016 12:00:00 AM,Rail Containers Empty,58135,53649
US-Mexico Border,05/01/2016 12:00:00 AM,Rail Containers Full,45037,41490
US-Canada Border,05/01/2016 12:00:00 AM,Pedestrians,40201,21753
US-Mexico Border,05/01/2016 12:00:00 AM,Rail Containers Empty,39822,40125
US-Canada Border,05/01/2016 12:00:00 AM,Train Passengers,27583,13823
US-Mexico Border,05/01/2016 12:00:00 AM,Buses,15379,15685
US-Canada Border,05/01/2016 12:00:00 AM,Buses,9478,5921
US-Canada Border,05/01/2016 12:00:00 AM,Trains,2475,2429
US-Mexico Border,05/01/2016 12:00:00 AM,Train Passengers,1063,1034
US-Mexico Border,05/01/2016 12:00:00 AM,Trains,894,861
US-Mexico Border,05/01/2015 12:00:00 AM,Personal Vehicle Passengers,11791328,11190024
US-Mexico Border,05/01/2015 12:00:00 AM,Personal Vehicles,6275741,6084895
US-Canada Border,05/01/2015 12:00:00 AM,Personal Vehicle Passengers,4612136,3707959
US-Mexico Border,05/01/2015 12:00:00 AM,Pedestrians,3454131,3386734
US-Canada Border,05/01/2015 12:00:00 AM,Personal Vehicles,2547836,2101179
US-Canada Border,05/01/2015 12:00:00 AM,Trucks,483697,484165
US-Mexico Border,05/01/2015 12:00:00 AM,Trucks,468216,470710
US-Canada Border,05/01/2015 12:00:00 AM,Truck Containers Full,396596,385849
US-Mexico Border,05/01/2015 12:00:00 AM,Truck Containers Full,340183,338741
US-Canada Border,05/01/2015 12:00:00 AM,Bus Passengers,220010,133547
US-Mexico Border,05/01/2015 12:00:00 AM,Bus Passengers,202483,211053
US-Canada Border,05/01/2015 12:00:00 AM,Rail Containers Full,138071,139827
US-Mexico Border,05/01/2015 12:00:00 AM,Truck Containers Empty,125751,130141
US-Canada Border,05/01/2015 12:00:00 AM,Truck Containers Empty,115694,115809
US-Canada Border,05/01/2015 12:00:00 AM,Rail Containers Empty,66817,65289
US-Canada Border,05/01/2015 12:00:00 AM,Pedestrians,43208,19359
US-Mexico Border,05/01/2015 12:00:00 AM,Rail Containers Full,42552,39983
US-Mexico Border,05/01/2015 12:00:00 AM,Rail Containers Empty,39991,37650
US-Canada Border,05/01/2015 12:00:00 AM,Train Passengers,27844,14316
US-Mexico Border,05/01/2015 12:00:00 AM,Buses,16746,16253
US-Canada Border,05/01/2015 12:00:00 AM,Buses,10339,6536
US-Canada Border,05/01/2015 12:00:00 AM,Trains,2658,2663
US-Mexico Border,05/01/2015 12:00:00 AM,Train Passengers,921,725
US-Mexico Border,05/01/2015 12:00:00 AM,Trains,839,817
US-Mexico Border,05/01/2014 12:00:00 AM,Personal Vehicle Passengers,10752775,10493665
US-Mexico Border,05/01/2014 12:00:00 AM,Personal Vehicles,5909610,5673139
US-Canada Border,05/01/2014 12:00:00 AM,Personal Vehicle Passengers,5121265,4268829
US-Mexico Border,05/01/2014 12:00:00 AM,Pedestrians,3486494,3512550
US-Canada Border,05/01/2014 12:00:00 AM,Personal Vehicles,2800323,2327096
US-Canada Border,05/01/2014 12:00:00 AM,Trucks,503633,485195
US-Mexico Border,05/01/2014 12:00:00 AM,Trucks,474277,459275
US-Canada Border,05/01/2014 12:00:00 AM,Truck Containers Full,379717,344505
US-Mexico Border,05/01/2014 12:00:00 AM,Truck Containers Full,341856,327235
US-Canada Border,05/01/2014 12:00:00 AM,Bus Passengers,270619,150517
US-Mexico Border,05/01/2014 12:00:00 AM,Bus Passengers,248796,223504
US-Canada Border,05/01/2014 12:00:00 AM,Rail Containers Full,139574,127662
US-Mexico Border,05/01/2014 12:00:00 AM,Truck Containers Empty,128649,128225
US-Canada Border,05/01/2014 12:00:00 AM,Truck Containers Empty,121062,109050
US-Canada Border,05/01/2014 12:00:00 AM,Rail Containers Empty,73214,64912
US-Mexico Border,05/01/2014 12:00:00 AM,Rail Containers Full,43652,37270
US-Canada Border,05/01/2014 12:00:00 AM,Pedestrians,39591,21522
US-Mexico Border,05/01/2014 12:00:00 AM,Rail Containers Empty,38438,36126
US-Canada Border,05/01/2014 12:00:00 AM,Train Passengers,26823,13805
US-Mexico Border,05/01/2014 12:00:00 AM,Buses,17705,17738
US-Canada Border,05/01/2014 12:00:00 AM,Buses,10919,7093
US-Canada Border,05/01/2014 12:00:00 AM,Trains,2643,2330
US-Mexico Border,05/01/2014 12:00:00 AM,Train Passengers,998,805
US-Mexico Border,05/01/2014 12:00:00 AM,Trains,858,785
US-Mexico Border,05/01/2013 12:00:00 AM,Personal Vehicle Passengers,10094092,9700627
US-Mexico Border,05/01/2013 12:00:00 AM,Personal Vehicles,5542514,5383161
US-Canada Border,05/01/2013 12:00:00 AM,Personal Vehicle Passengers,5144359,4412592
US-Mexico Border,05/01/2013 12:00:00 AM,Pedestrians,3336831,3410410
US-Canada Border,05/01/2013 12:00:00 AM,Personal Vehicles,2860420,2424237
US-Canada Border,05/01/2013 12:00:00 AM,Trucks,495376,476180
US-Mexico Border,05/01/2013 12:00:00 AM,Trucks,462653,447310
US-Canada Border,05/01/2013 12:00:00 AM,Truck Containers Full,348887,345083
US-Mexico Border,05/01/2013 12:00:00 AM,Truck Containers Full,329269,308079
US-Canada Border,05/01/2013 12:00:00 AM,Bus Passengers,251514,169645
US-Mexico Border,05/01/2013 12:00:00 AM,Bus Passengers,228245,239236
US-Mexico Border,05/01/2013 12:00:00 AM,Truck Containers Empty,137914,132884
US-Canada Border,05/01/2013 12:00:00 AM,Rail Containers Full,126913,128293
US-Canada Border,05/01/2013 12:00:00 AM,Truck Containers Empty,123881,116618
US-Canada Border,05/01/2013 12:00:00 AM,Rail Containers Empty,65924,60934
US-Canada Border,05/01/2013 12:00:00 AM,Pedestrians,40091,21575
US-Mexico Border,05/01/2013 12:00:00 AM,Rail Containers Full,37009,34411
US-Mexico Border,05/01/2013 12:00:00 AM,Rail Containers Empty,31148,31873
US-Canada Border,05/01/2013 12:00:00 AM,Train Passengers,27490,13698
US-Mexico Border,05/01/2013 12:00:00 AM,Buses,17577,17042
US-Canada Border,05/01/2013 12:00:00 AM,Buses,10706,6925
US-Canada Border,05/01/2013 12:00:00 AM,Trains,2696,2429
US-Mexico Border,05/01/2013 12:00:00 AM,Trains,805,747
US-Mexico Border,05/01/2013 12:00:00 AM,Train Passengers,388,372
US-Mexico Border,05/01/2012 12:00:00 AM,Personal Vehicle Passengers,9456442,9430517
US-Mexico Border,05/01/2012 12:00:00 AM,Personal Vehicles,5267639,5135868
US-Canada Border,05/01/2012 12:00:00 AM,Personal Vehicle Passengers,5048697,4492806
US-Mexico Border,05/01/2012 12:00:00 AM,Pedestrians,3421853,3472671
US-Canada Border,05/01/2012 12:00:00 AM,Personal Vehicles,2779147,2451279
US-Canada Border,05/01/2012 12:00:00 AM,Trucks,505616,469997
US-Mexico Border,05/01/2012 12:00:00 AM,Trucks,460181,427784
US-Canada Border,05/01/2012 12:00:00 AM,Truck Containers Full,376336,351462
US-Mexico Border,05/01/2012 12:00:00 AM,Truck Containers Full,322166,293994
US-Canada Border,05/01/2012 12:00:00 AM,Bus Passengers,256879,168033
US-Mexico Border,05/01/2012 12:00:00 AM,Bus Passengers,222990,237258
US-Mexico Border,05/01/2012 12:00:00 AM,Truck Containers Empty,135225,128327
US-Canada Border,05/01/2012 12:00:00 AM,Rail Containers Full,112210,119265
US-Canada Border,05/01/2012 12:00:00 AM,Truck Containers Empty,112198,100592
US-Canada Border,05/01/2012 12:00:00 AM,Rail Containers Empty,59768,58983
US-Mexico Border,05/01/2012 12:00:00 AM,Rail Containers Empty,40321,38999
US-Canada Border,05/01/2012 12:00:00 AM,Pedestrians,39073,22451
US-Mexico Border,05/01/2012 12:00:00 AM,Rail Containers Full,33681,32259
US-Canada Border,05/01/2012 12:00:00 AM,Train Passengers,26609,15191
US-Mexico Border,05/01/2012 12:00:00 AM,Buses,17687,17110
US-Canada Border,05/01/2012 12:00:00 AM,Buses,11022,7475
US-Canada Border,05/01/2012 12:00:00 AM,Trains,2274,2556
US-Mexico Border,05/01/2012 12:00:00 AM,Trains,760,743
US-Mexico Border,05/01/2012 12:00:00 AM,Train Passengers,296,283
US-Mexico Border,05/01/2011 12:00:00 AM,Personal Vehicle Passengers,9340649,9169730
US-Mexico Border,05/01/2011 12:00:00 AM,Personal Vehicles,5206244,5071377
US-Canada Border,05/01/2011 12:00:00 AM,Personal Vehicle Passengers,4875403,4184469
US-Mexico Border,05/01/2011 12:00:00 AM,Pedestrians,3320617,3413495
US-Canada Border,05/01/2011 12:00:00 AM,Personal Vehicles,2662854,2298404
US-Canada Border,05/01/2011 12:00:00 AM,Trucks,481860,458664
US-Mexico Border,05/01/2011 12:00:00 AM,Trucks,427866,411697
US-Canada Border,05/01/2011 12:00:00 AM,Truck Containers Full,355369,341120
US-Mexico Border,05/01/2011 12:00:00 AM,Truck Containers Full,292236,281904
US-Canada Border,05/01/2011 12:00:00 AM,Bus Passengers,256246,171378
US-Mexico Border,05/01/2011 12:00:00 AM,Bus Passengers,214348,230207
US-Mexico Border,05/01/2011 12:00:00 AM,Truck Containers Empty,127038,122614
US-Canada Border,05/01/2011 12:00:00 AM,Rail Containers Full,107994,106209
US-Canada Border,05/01/2011 12:00:00 AM,Truck Containers Empty,98289,98782
US-Canada Border,05/01/2011 12:00:00 AM,Rail Containers Empty,55148,51254
US-Mexico Border,05/01/2011 12:00:00 AM,Rail Containers Empty,36185,34221
US-Mexico Border,05/01/2011 12:00:00 AM,Rail Containers Full,31788,28907
US-Canada Border,05/01/2011 12:00:00 AM,Pedestrians,29349,18452
US-Canada Border,05/01/2011 12:00:00 AM,Train Passengers,26800,14937
US-Mexico Border,05/01/2011 12:00:00 AM,Buses,18228,17397
US-Canada Border,05/01/2011 12:00:00 AM,Buses,11562,7827
US-Canada Border,05/01/2011 12:00:00 AM,Trains,2240,2117
US-Mexico Border,05/01/2011 12:00:00 AM,Trains,708,657
US-Mexico Border,05/01/2011 12:00:00 AM,Train Passengers,317,298
US-Mexico Border,05/01/2010 12:00:00 AM,Personal Vehicle Passengers,10887765,10705887
US-Mexico Border,05/01/2010 12:00:00 AM,Personal Vehicles,5493655,5405673
US-Canada Border,05/01/2010 12:00:00 AM,Personal Vehicle Passengers,4692168,4056114
US-Mexico Border,05/01/2010 12:00:00 AM,Pedestrians,3502885,3331031
US-Canada Border,05/01/2010 12:00:00 AM,Personal Vehicles,2401852,2085611
US-Canada Border,05/01/2010 12:00:00 AM,Trucks,469528,457769
US-Mexico Border,05/01/2010 12:00:00 AM,Trucks,406353,403751
US-Canada Border,05/01/2010 12:00:00 AM,Truck Containers Full,365603,355100
US-Mexico Border,05/01/2010 12:00:00 AM,Truck Containers Full,280548,276115
US-Canada Border,05/01/2010 12:00:00 AM,Bus Passengers,255618,183175
US-Mexico Border,05/01/2010 12:00:00 AM,Bus Passengers,205977,207000
US-Mexico Border,05/01/2010 12:00:00 AM,Truck Containers Empty,124036,128260
US-Canada Border,05/01/2010 12:00:00 AM,Rail Containers Full,101286,101031
US-Canada Border,05/01/2010 12:00:00 AM,Truck Containers Empty,97029,93232
US-Canada Border,05/01/2010 12:00:00 AM,Rail Containers Empty,49373,49570
US-Canada Border,05/01/2010 12:00:00 AM,Pedestrians,35087,20513
US-Mexico Border,05/01/2010 12:00:00 AM,Rail Containers Empty,34042,34103
US-Mexico Border,05/01/2010 12:00:00 AM,Rail Containers Full,27044,26319
US-Canada Border,05/01/2010 12:00:00 AM,Train Passengers,24297,12861
US-Mexico Border,05/01/2010 12:00:00 AM,Buses,17477,18468
US-Canada Border,05/01/2010 12:00:00 AM,Buses,11679,8364
US-Canada Border,05/01/2010 12:00:00 AM,Trains,2435,2166
US-Mexico Border,05/01/2010 12:00:00 AM,Trains,647,658
US-Mexico Border,05/01/2010 12:00:00 AM,Train Passengers,278,288
US-Mexico Border,05/01/2009 12:00:00 AM,Personal Vehicle Passengers,11838435,11661644
US-Mexico Border,05/01/2009 12:00:00 AM,Personal Vehicles,5954295,5860713
US-Canada Border,05/01/2009 12:00:00 AM,Personal Vehicle Passengers,4670174,3750962
US-Mexico Border,05/01/2009 12:00:00 AM,Pedestrians,3457754,3516342
US-Canada Border,05/01/2009 12:00:00 AM,Personal Vehicles,2346355,1926452
US-Canada Border,05/01/2009 12:00:00 AM,Trucks,396308,404353
US-Mexico Border,05/01/2009 12:00:00 AM,Trucks,341601,353340
US-Canada Border,05/01/2009 12:00:00 AM,Truck Containers Full,309367,314930
US-Canada Border,05/01/2009 12:00:00 AM,Bus Passengers,277709,175776
US-Mexico Border,05/01/2009 12:00:00 AM,Truck Containers Full,217776,225975
US-Mexico Border,05/01/2009 12:00:00 AM,Bus Passengers,179414,215501
US-Mexico Border,05/01/2009 12:00:00 AM,Truck Containers Empty,121711,127205
US-Canada Border,05/01/2009 12:00:00 AM,Rail Containers Full,80160,82686
US-Canada Border,05/01/2009 12:00:00 AM,Truck Containers Empty,79869,82262
US-Canada Border,05/01/2009 12:00:00 AM,Rail Containers Empty,40331,44627
US-Canada Border,05/01/2009 12:00:00 AM,Pedestrians,37133,23794
US-Mexico Border,05/01/2009 12:00:00 AM,Rail Containers Empty,25007,27194
US-Mexico Border,05/01/2009 12:00:00 AM,Buses,18635,20119
US-Canada Border,05/01/2009 12:00:00 AM,Train Passengers,18241,10113
US-Mexico Border,05/01/2009 12:00:00 AM,Rail Containers Full,18103,19447
US-Canada Border,05/01/2009 12:00:00 AM,Buses,11920,8493
US-Canada Border,05/01/2009 12:00:00 AM,Trains,1969,1915
US-Mexico Border,05/01/2009 12:00:00 AM,Trains,613,653
US-Mexico Border,05/01/2009 12:00:00 AM,Train Passengers,373,388
US-Mexico Border,05/01/2008 12:00:00 AM,Personal Vehicle Passengers,13372873,13058440
US-Mexico Border,05/01/2008 12:00:00 AM,Personal Vehicles,6697505,6586173
US-Canada Border,05/01/2008 12:00:00 AM,Personal Vehicle Passengers,5216129,4202800
US-Mexico Border,05/01/2008 12:00:00 AM,Pedestrians,3884000,3854005
US-Canada Border,05/01/2008 12:00:00 AM,Personal Vehicles,2560128,2155304
US-Canada Border,05/01/2008 12:00:00 AM,Trucks,516173,517868
US-Mexico Border,05/01/2008 12:00:00 AM,Trucks,434920,427440
US-Canada Border,05/01/2008 12:00:00 AM,Truck Containers Full,415365,417984
US-Canada Border,05/01/2008 12:00:00 AM,Bus Passengers,355655,250545
US-Mexico Border,05/01/2008 12:00:00 AM,Bus Passengers,324361,298793
US-Mexico Border,05/01/2008 12:00:00 AM,Truck Containers Full,274857,270159
US-Mexico Border,05/01/2008 12:00:00 AM,Truck Containers Empty,155709,155699
